Date;Impressions;Reach
181102;26341;9018
181103;50289;6784
181104;81419;8191
181105;28849;8409
181106;22706;8257
181107;58479;9684
181108;19827;6190
181109;10651;3934
181110;14152;5905
181111;14933;6795
181112;14737;6509
181113;15312;6770
181114;19666;8850
181115;23377;9490
181116;28437;10280
181117;55343;9383
181118;36651;7015
181119;20074;7458
181120;21432;7618
181121;19465;5982
181122;13754;6462
181123;31502;5241
181124;68259;7033
181125;12710;4082
181126;13157;5126
181127;50166;37351
181128;54712;41066
181129;31684;13322
181130;34131;14393
